table,column,type,nullable,default,primary_key,references,check_constraint,notes
billing.business_types,id,uuid,NO,gen_random_uuid(),YES,,,
billing.business_types,name,text,NO,,,,,
billing.business_types,slug,text,NO,,,,UNIQUE,
billing.business_types,description,text,YES,,,,,
billing.business_types,is_active,boolean,NO,true,,,,Superadmin can retire from new signups without deleting history
billing.business_types,created_at,timestamptz,NO,now(),,,,
billing.organizations,id,uuid,NO,gen_random_uuid(),YES,,,
billing.organizations,name,text,NO,,,,,
billing.organizations,slug,text,YES,,,,UNIQUE,
billing.organizations,billing_email,text,YES,,,,,
billing.organizations,default_currency,text,NO,'INR',,,,
billing.organizations,business_type_id,uuid,YES,,,business_types.id ON DELETE SET NULL,,"Set at onboarding; drives default setup + add-on recommendations only, not access control"
billing.organizations,invoice_prefix,text,NO,'INV',,,,
billing.organizations,bill_prefix,text,NO,'BILL',,,,
billing.organizations,credit_note_prefix,text,NO,'CN',,,,
billing.organizations,debit_note_prefix,text,NO,'DN',,,,
billing.organizations,gstin,text,YES,,,,,
billing.organizations,gst_registered,boolean,NO,false,,,,
billing.organizations,state_code,text,YES,,,,,GST place-of-supply state code
billing.organizations,pdf_watermark_text,text,YES,,,,,null = no watermark
billing.organizations,pdf_logo_url,text,YES,,,,,
billing.organizations,pdf_footer_notes,text,YES,,,,,Default invoice/bill T&C
billing.organizations,financial_year_start_month,int,NO,4,,,1-12,
billing.organizations,low_stock_alerts_enabled,boolean,NO,true,,,,
billing.organizations,is_active,boolean,NO,true,,,,"Superadmin-only to change; false locks out the org's own members"
billing.organizations,subscription_status,text,NO,'trialing',,,"subscription_status IN ('trialing','active','past_due','cancelled')","Superadmin-only to change; independent of is_active. Only trialing/active pass is_org_member()/is_org_admin() — past_due and cancelled lock the org out the same way an inactive org does"
billing.organizations,subscription_current_period_end,timestamptz,YES,,,,,When the current paid (or trial) period ends; also what organization_addon_subscriptions.renews_at is synced to
billing.organizations,created_at,timestamptz,NO,now(),,,,
billing.organizations,updated_at,timestamptz,NO,now(),,,,Auto-bumped by set_updated_at
billing.memberships,id,uuid,NO,gen_random_uuid(),YES,,,
billing.memberships,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,user_id)"
billing.memberships,user_id,uuid,NO,,,auth.users.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,user_id)"
billing.memberships,role,text,NO,'owner',,,"role IN ('owner','admin','member')",
billing.memberships,created_at,timestamptz,NO,now(),,,,
billing.superadmins,user_id,uuid,NO,,YES,auth.users.id ON DELETE CASCADE,,"No insert/update/delete policy at all — granted only via direct SQL"
billing.superadmins,created_at,timestamptz,NO,now(),,,,
billing.customers,id,uuid,NO,gen_random_uuid(),YES,,,
billing.customers,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.customers,name,text,NO,,,,,
billing.customers,email,text,YES,,,,,
billing.customers,phone,text,YES,,,,,
billing.customers,billing_address,jsonb,YES,,,,,
billing.customers,tax_id,text,YES,,,,,e.g. GSTIN
billing.customers,notes,text,YES,,,,,
billing.customers,created_by,uuid,YES,,,auth.users.id,,
billing.customers,created_at,timestamptz,NO,now(),,,,
billing.customers,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.vendors,id,uuid,NO,gen_random_uuid(),YES,,,
billing.vendors,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.vendors,name,text,NO,,,,,
billing.vendors,email,text,YES,,,,,
billing.vendors,phone,text,YES,,,,,
billing.vendors,billing_address,jsonb,YES,,,,,
billing.vendors,tax_id,text,YES,,,,,
billing.vendors,notes,text,YES,,,,,
billing.vendors,created_by,uuid,YES,,,auth.users.id,,
billing.vendors,created_at,timestamptz,NO,now(),,,,
billing.vendors,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.tax_rates,id,uuid,NO,gen_random_uuid(),YES,,,
billing.tax_rates,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.tax_rates,name,text,NO,,,,,"e.g. ""GST 18%"""
billing.tax_rates,rate,"numeric(5,2)",NO,,,,rate BETWEEN 0 AND 100,
billing.tax_rates,is_default,boolean,NO,false,,,,
billing.tax_rates,created_at,timestamptz,NO,now(),,,,
billing.warehouses,id,uuid,NO,gen_random_uuid(),YES,,,
billing.warehouses,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.warehouses,name,text,NO,,,,,
billing.warehouses,address,jsonb,YES,,,,,
billing.warehouses,is_default,boolean,NO,false,,,,
billing.warehouses,created_at,timestamptz,NO,now(),,,,
billing.items,id,uuid,NO,gen_random_uuid(),YES,,,
billing.items,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,sku) where sku not null"
billing.items,name,text,NO,,,,,
billing.items,sku,text,YES,,,,,"Part of UNIQUE(org_id,sku) where sku not null"
billing.items,description,text,YES,,,,,
billing.items,hsn_sac_code,text,YES,,,,,GST HSN(goods)/SAC(services) code
billing.items,unit,text,NO,'pcs',,,,Unit of measure
billing.items,unit_price,"numeric(14,2)",NO,0,,,,Default selling price
billing.items,purchase_price,"numeric(14,2)",NO,0,,,,"Default cost, prefills purchase bills"
billing.items,tax_rate_id,uuid,YES,,,tax_rates.id ON DELETE SET NULL,,
billing.items,track_inventory,boolean,NO,true,,,,false = service/non-stock item
billing.items,reorder_level,"numeric(14,4)",NO,0,,,,
billing.items,is_active,boolean,NO,true,,,,
billing.items,created_at,timestamptz,NO,now(),,,,
billing.items,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.item_stock,item_id,uuid,NO,,YES (composite),items.id ON DELETE CASCADE,,"PK part 1; read-only, derived from stock_movements"
billing.item_stock,warehouse_id,uuid,NO,,YES (composite),warehouses.id ON DELETE CASCADE,,PK part 2
billing.item_stock,quantity_on_hand,"numeric(14,4)",NO,0,,,,Written only by stock_movements_apply() trigger
billing.stock_movements,id,uuid,NO,gen_random_uuid(),YES,,,
billing.stock_movements,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.stock_movements,item_id,uuid,NO,,,items.id ON DELETE RESTRICT,,
billing.stock_movements,warehouse_id,uuid,NO,,,warehouses.id ON DELETE RESTRICT,,
billing.stock_movements,quantity_delta,"numeric(14,4)",NO,,,,quantity_delta <> 0,"Positive = stock in, negative = stock out"
billing.stock_movements,movement_type,text,NO,,,,"movement_type IN ('purchase','purchase_void','sale','sale_void','sales_return','sales_return_void','purchase_return','purchase_return_void','adjustment')",
billing.stock_movements,reference_type,text,YES,,,,,'invoice' | 'purchase_bill' | 'credit_note' | 'debit_note' | 'manual'
billing.stock_movements,reference_id,uuid,YES,,,,,Not FK'd (polymorphic across document tables)
billing.stock_movements,notes,text,YES,,,,,
billing.stock_movements,created_by,uuid,YES,auth.uid(),,auth.users.id,,Auto-stamped from the session that wrote the row
billing.stock_movements,created_at,timestamptz,NO,now(),,,,"Append-only: UPDATE/DELETE blocked by trigger, even for service_role"
billing.offers,id,uuid,NO,gen_random_uuid(),YES,,,
billing.offers,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
